Memory Length4000;;;;;;;
Trigger Level0.000E+00;;;;;;;
SourceCH1;;;;;;;
Probe1X;;;;;;;
Vertical UnitsV;;;;;;;
Vertical Scale;1.00E+00;;;;;;
Vertical Position;-4.00E-02;;;;;;
Horizontal Unitss;;;;;;;
Horizontal Scale5.000E-02;;;;;;;
Horizontal Position0.000E+00;;;;;;;
Horizontal ModeRoll Mode;;;;;;;
Sampling Period;2.00E-04;;;;;;
FirmwareV1.12;;;;;;;
Time ;;Escalas de tiempo;Tiempo(s);Waveform Data Ch1;Ch1 (V);Waveform Data Ch1;Ch2 (V)
ModeFast;;;;;;;
Waveform Data;;;;;;;
24;;335;6.70E-02;9.60E-01;3.84E-02;;
24;;336;6.72E-02;9.60E-01;3.84E-02;;
24;;337;6.74E-02;9.60E-01;3.84E-02;;
24;;338;6.76E-02;9.60E-01;3.84E-02;;
24;;339;6.78E-02;9.60E-01;3.84E-02;;
24;;340;6.80E-02;9.60E-01;3.84E-02;;
24;;341;6.82E-02;9.60E-01;3.84E-02;;
24;;342;6.84E-02;9.60E-01;3.84E-02;;
25;;343;6.86E-02;1.00E+00;4.00E-02;;
24;;344;6.88E-02;9.60E-01;3.84E-02;;
24;;345;6.90E-02;9.60E-01;3.84E-02;;
24;;346;6.92E-02;9.60E-01;3.84E-02;;
24;;347;6.94E-02;9.60E-01;3.84E-02;;
25;;348;6.96E-02;1.00E+00;4.00E-02;;
23;;349;6.98E-02;9.20E-01;3.68E-02;;
24;;350;7.00E-02;9.60E-01;3.84E-02;;
24;;351;7.02E-02;9.60E-01;3.84E-02;;
24;;352;7.04E-02;9.60E-01;3.84E-02;;
24;;353;7.06E-02;9.60E-01;3.84E-02;;
24;;354;7.08E-02;9.60E-01;3.84E-02;;
24;;355;7.10E-02;9.60E-01;3.84E-02;;
24;;356;7.12E-02;9.60E-01;3.84E-02;;
24;;357;7.14E-02;9.60E-01;3.84E-02;;
23;;358;7.16E-02;9.20E-01;3.68E-02;;
24;;359;7.18E-02;9.60E-01;3.84E-02;;
24;;360;7.20E-02;9.60E-01;3.84E-02;;
24;;361;7.22E-02;9.60E-01;3.84E-02;;
24;;362;7.24E-02;9.60E-01;3.84E-02;;
24;;363;7.26E-02;9.60E-01;3.84E-02;;
24;;364;7.28E-02;9.60E-01;3.84E-02;;
24;;365;7.30E-02;9.60E-01;3.84E-02;;
23;;366;7.32E-02;9.20E-01;3.68E-02;;
23;;367;7.34E-02;9.20E-01;3.68E-02;;
24;;368;7.36E-02;9.60E-01;3.84E-02;;
24;;369;7.38E-02;9.60E-01;3.84E-02;;
23;;370;7.40E-02;9.20E-01;3.68E-02;;
23;;371;7.42E-02;9.20E-01;3.68E-02;;
23;;372;7.44E-02;9.20E-01;3.68E-02;;
23;;373;7.46E-02;9.20E-01;3.68E-02;;
23;;374;7.48E-02;9.20E-01;3.68E-02;;
23;;375;7.50E-02;9.20E-01;3.68E-02;;
23;;376;7.52E-02;9.20E-01;3.68E-02;;
23;;377;7.54E-02;9.20E-01;3.68E-02;;
23;;378;7.56E-02;9.20E-01;3.68E-02;;
24;;379;7.58E-02;9.60E-01;3.84E-02;;
23;;380;7.60E-02;9.20E-01;3.68E-02;;
23;;381;7.62E-02;9.20E-01;3.68E-02;;
23;;382;7.64E-02;9.20E-01;3.68E-02;;
22;;383;7.66E-02;8.80E-01;3.52E-02;;
23;;384;7.68E-02;9.20E-01;3.68E-02;;
23;;385;7.70E-02;9.20E-01;3.68E-02;;
23;;386;7.72E-02;9.20E-01;3.68E-02;;
23;;387;7.74E-02;9.20E-01;3.68E-02;;
22;;388;7.76E-02;8.80E-01;3.52E-02;;
22;;389;7.78E-02;8.80E-01;3.52E-02;;
23;;390;7.80E-02;9.20E-01;3.68E-02;;
22;;391;7.82E-02;8.80E-01;3.52E-02;;
23;;392;7.84E-02;9.20E-01;3.68E-02;;
23;;393;7.86E-02;9.20E-01;3.68E-02;;
22;;394;7.88E-02;8.80E-01;3.52E-02;;
22;;395;7.90E-02;8.80E-01;3.52E-02;;
22;;396;7.92E-02;8.80E-01;3.52E-02;;
21;;397;7.94E-02;8.40E-01;3.36E-02;;
21;;398;7.96E-02;8.40E-01;3.36E-02;;
21;;399;7.98E-02;8.40E-01;3.36E-02;;
22;;400;8.00E-02;8.80E-01;3.52E-02;;
21;;401;8.02E-02;8.40E-01;3.36E-02;;
20;;402;8.04E-02;8.00E-01;3.20E-02;;
21;;403;8.06E-02;8.40E-01;3.36E-02;;
22;;404;8.08E-02;8.80E-01;3.52E-02;;
20;;405;8.10E-02;8.00E-01;3.20E-02;;
21;;406;8.12E-02;8.40E-01;3.36E-02;;
21;;407;8.14E-02;8.40E-01;3.36E-02;;
20;;408;8.16E-02;8.00E-01;3.20E-02;;
21;;409;8.18E-02;8.40E-01;3.36E-02;;
21;;410;8.20E-02;8.40E-01;3.36E-02;;
21;;411;8.22E-02;8.40E-01;3.36E-02;;
20;;412;8.24E-02;8.00E-01;3.20E-02;;
20;;413;8.26E-02;8.00E-01;3.20E-02;;
20;;414;8.28E-02;8.00E-01;3.20E-02;;
20;;415;8.30E-02;8.00E-01;3.20E-02;;
20;;416;8.32E-02;8.00E-01;3.20E-02;;
21;;417;8.34E-02;8.40E-01;3.36E-02;;
20;;418;8.36E-02;8.00E-01;3.20E-02;;
21;;419;8.38E-02;8.40E-01;3.36E-02;;
20;;420;8.40E-02;8.00E-01;3.20E-02;;
20;;421;8.42E-02;8.00E-01;3.20E-02;;
20;;422;8.44E-02;8.00E-01;3.20E-02;;
21;;423;8.46E-02;8.40E-01;3.36E-02;;
20;;424;8.48E-02;8.00E-01;3.20E-02;;
20;;425;8.50E-02;8.00E-01;3.20E-02;;
20;;426;8.52E-02;8.00E-01;3.20E-02;;
20;;427;8.54E-02;8.00E-01;3.20E-02;;
20;;428;8.56E-02;8.00E-01;3.20E-02;;
20;;429;8.58E-02;8.00E-01;3.20E-02;;
